Czas,AbsSum,Sum
10.897,0.01874597343873008,-0.01874597343873008
10.898,0.02451750945619846,-0.02451750945619846
10.899,0.02743008988591822,-0.02743008988591822
10.9,0.02588018241686907,-0.02588018241686907
10.901,0.019511852676187158,-0.019511852676187158
10.902,0.009502046163219813,-0.009502046163219813
10.903,0.001586847436238159,0.001586847436238159
10.904,0.010386332790704111,0.010386332790704111
10.905,0.013601074511440547,0.013601074511440547
10.906,0.00895530323303051,0.00895530323303051
10.907,0.0040639777767895735,-0.0040639777767895735
10.908,0.02389625169833265,-0.02389625169833265
10.909,0.04714664113911515,-0.04714664113911515
10.91,0.06933964160813322,-0.06933964160813322
10.911,0.08600222034857696,-0.08600222034857696
10.912,0.09378884451721903,-0.09378884451721903
10.913,0.0913387251191522,-0.0913387251191522
10.914,0.07962257584758436,-0.07962257584758436
10.915,0.061675283060796615,-0.061675283060796615
10.916,0.0417827499703155,-0.0417827499703155
10.917,0.024345798443300315,-0.024345798443300315
10.918,0.0127356739433927,-0.0127356739433927
10.919,0.008456990811151921,-0.008456990811151921
10.92,0.010844329898802685,-0.010844329898802685
10.921,0.01736482326140587,-0.01736482326140587
10.922,0.024426710584393496,-0.024426710584393496
10.923,0.02845386658938276,-0.02845386658938276
10.924,0.026918982455136575,-0.026918982455136575
10.925,0.019051038360018535,-0.019051038360018535
10.926,0.006035933945474858,-0.006035933945474858
10.927,0.00932106960814938,0.00932106960814938
10.928,0.02335229203431277,0.02335229203431277
10.929,0.03247848261010744,0.03247848261010744
10.93,0.03409288545062594,0.03409288545062594
10.931,0.027158428364314036,0.027158428364314036
10.932,0.012395305861021111,0.012395305861021111
10.933,0.007944202753006224,-0.007944202753006224
10.934,0.030612701697475875,-0.030612701697475875
10.935,0.05205494342190442,-0.05205494342190442
10.936,0.06907749041468814,-0.06907749041468814
10.937,0.07937194771423717,-0.07937194771423717
10.938,0.08182532044712199,-0.08182532044712199
10.939,0.07661096145942703,-0.07661096145942703
10.94,0.06509193832496851,-0.06509193832496851
10.941,0.049579728110992205,-0.049579728110992205
10.942,0.03298306427312736,-0.03298306427312736
10.943,0.01837096821804718,-0.01837096821804718
10.944,0.008476240293721182,-0.008476240293721182
10.945,0.005187407994721727,-0.005187407994721727
10.946,0.009111201530983992,-0.009111201530983992
10.947,0.01931545926576106,-0.01931545926576106
10.948,0.03336188151164976,-0.03336188151164976
10.949,0.047694407639912284,-0.047694407639912284
10.95,0.058363544245015664,-0.058363544245015664
10.951,0.06196035186196258,-0.06196035186196258
10.952,0.05654105444819224,-0.05654105444819224
10.953,0.04228209867984278,-0.04228209867984278
10.954,0.021641705727518112,-0.021641705727518112
10.955,0.0010807519100872742,0.0010807519100872742
10.956,0.020728516767707594,0.020728516767707594
10.957,0.03258438313367473,0.03258438313367473
10.958,0.033633321402713356,0.033633321402713356
10.959,0.023423998701590287,0.023423998701590287
10.96,0.004257111082356824,0.004257111082356824
10.961,0.01938422067165313,-0.01938422067165313
10.962,0.04202107560826074,-0.04202107560826074
10.963,0.058648469739158604,-0.058648469739158604
10.964,0.06605846599920995,-0.06605846599920995
10.965,0.06362381023762742,-0.06362381023762742
10.966,0.05331185370602587,-0.05331185370602587
10.967,0.03893763700126163,-0.03893763700126163
10.968,0.024904198269705025,-0.024904198269705025
10.969,0.014838748879951402,-0.014838748879951402
10.97,0.010561084382918806,-0.010561084382918806
10.971,0.011704794501154359,-0.011704794501154359
10.972,0.016090094858561166,-0.016090094858561166
10.973,0.020693449699613287,-0.020693449699613287
10.974,0.022859362491134072,-0.022859362491134072
10.975,0.021322044113275207,-0.021322044113275207
10.976,0.01667613464046447,-0.01667613464046447
10.977,0.011132155585571901,-0.011132155585571901
10.978,0.007646426543120977,-0.007646426543120977
10.979,0.008738834028267917,-0.008738834028267917
10.98,0.015426954006000249,-0.015426954006000249
10.981,0.02667051903534501,-0.02667051903534501
10.982,0.03954667042761628,-0.03954667042761628
10.983,0.05012286396244603,-0.05012286396244603
10.984,0.05474803856411181,-0.05474803856411181
10.985,0.051329244861731516,-0.051329244861731516
10.986,0.0401544267860543,-0.0401544267860543
10.987,0.023966163780819394,-0.023966163780819394
